name,description,price,male
Красивый свитер для ребенка, Праздничный свитер для ребенка Украшен тематическим новогодним узором С длинным рукавчиком и круглым вырезом горловины Состав 91% акрил и 9% полиэстер, 425, False, 1.jpg
Кардиган для девочки, Кардиган  з м’якої в’язки в рубчик Із V-подібним вирізом Застібка - планка з ґудзиків спереду З довгим рукавом Склад 100% бавовна, 295, False
Красивое платье для девочки от Carters, З довгим рукавчиком на манжеті-резинці Ззаду невелика планка з гудзиків Прикрашене принтом Склад 60% бавовна 40% віскоза, 310, False
Пижама с легким начесом внутри, Трикотажная пижама для ребенка Состоит из штанов и реглана Внутри с легким начесом Штаны на эластичной резинке Состав 100% хлопок, 445, False
Трикотажная футболка для ребенка, Круглий виріз горловини Прикрашена принтом Склад 95% бавовна 5% лайкра, 275, False
Демисезонная куртка для девочки от MarksSpencer, Наповнювач легкий шар силікону Всередині гладка поліестерова підкладка Сезонність весна осінь Склад 100% поліестер, 895, False
Солнцезащитные очки Paw Patrol, Стильна оправа мають яскравий дизайн Вік 4+, 145, False
Кроссовки для девочки, Міцна підошва яка розрахована для активних ігор Застібка липучка Якісне пошиття Матеріал текстиль ґума, 725, False
Жилет с трикотажным капюшоном для ребенка, Всередині повністю на підкладці з віскози Наповнювач тонкий шар синтепону Дві прорізні кишені, 550, False
Дизайнерский набор для девочки (шапочка и шарфик), Набор состоит из шапочки и шарфа Сезонность осень зима Состав 80% хлопок 20% акрил, 225, False
Набор трикотажных футболок 2 шт, Круглий виріз горловини Прикрашені принтом Склад 100% бавовна, 325, True
Набор носков для ребенка (7 пар), Еластичні гумки В наборі 7 шт Склад 81% бавовна 18% поліамід 1% еластан, 175, True
Свитшот с махровой нитью внутри Абстракция, Всередині з махровою ниткою френч террі Круглий виріз горловини Склад 90% бавовна 10% еластан, 485, True
Твиловые штаны для мальчика от H&M 1шт, В поясе протянута регулируемая резинка Застежка кнопка и молния Состав: 100% хлопок, 235, True
Кардиган для ребенка, Всередині з легким начосом Vподібний виріз горловини Склад 74% бавовна 23 % поліестер 3% віскоза, 650, True
Трикотажный комплект двойка с начесом внутри для ребенка, Всередині з начосом Складається з світшоту та штанців Склад 100%  бавовна, 795, True
Вышиванка для мальчика, Матеріал батист З довгим рукавчиком Склад: 100% бавовна, 475, True
Зимний комплект куртка и штаны, Складається з куртки та штанів з регулюючими підтяжками Безпечні світловідбиваючі деталі Склад: 100% поліестер з поліуретановим покриттям, 2495, True
Набор рубашек с коротким рукавом 2 шт, С коротким рукавчиком Можно носить как школьную форму Состав 65 % полиэстер 35% хлопок, 250, True
Футболка для ребенка, З коротким рукавчиком Прикрашена принтом Склад: 100% бавовна, 150, true
